"time","FLOW","TEMP","SALT","OXY_oxy","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_docr","OGM_poc","OGM_don","OGM_donr","OGM_pon","OGM_dop","OGM_dopr","OGM_pop","CAR_dic","CAR_ch4","SIL_rsi"
2013-05-16,0.0152,15.2891,0,294.6262,0.388,0.5484,0.1264,14.9875,134.8876,14.9875,1.1732,10.5584,2.3463,0.0182,0.1638,7.3297,62.8392,0.0108,120.9013
2013-05-17,0.0141,15.3267,0,294.3877,0.3788,0.5703,0.1271,14.9862,134.8757,14.9862,1.1712,10.5407,2.3424,0.0195,0.1755,7.7725,62.8526,0.0113,120.9013
2013-05-18,0.017,15.0142,0,296.3806,0.3695,0.5922,0.1279,14.9849,134.8638,14.9849,1.1692,10.5229,2.3384,0.0208,0.1873,8.2153,62.866,0.0118,120.9013
2013-05-19,0.0186,14.6304,0,298.8612,0.3603,0.6141,0.1286,14.9836,134.852,14.9836,1.1672,10.5052,2.3345,0.0221,0.199,8.6581,62.8794,0.0124,120.9013
2013-05-20,0.0413,14.4457,0,300.0683,0.3511,0.6359,0.1294,14.9822,134.8401,14.9822,1.1653,10.4874,2.3305,0.0234,0.2108,9.101,62.8928,0.013,120.9013
2013-05-21,0.0278,14.9861,0,296.5605,0.3418,0.6578,0.1301,14.9809,134.8282,14.9809,1.1633,10.4697,2.3266,0.0247,0.2226,9.5438,62.9062,0.0135,120.9013
2013-05-22,0.0207,16.0322,0,289.9751,0.3326,0.6797,0.1309,14.9796,134.8163,14.9796,1.1613,10.452,2.3227,0.026,0.2343,9.9866,62.9196,0.0141,120.9013
2013-05-23,0.0195,15.7351,0,291.8187,0.3234,0.7016,0.1316,14.9783,134.8045,14.9783,1.1594,10.4342,2.3187,0.0273,0.2461,10.4294,62.933,0.0146,120.9013
2013-05-24,0.0194,14.3636,0,300.6075,0.3141,0.7235,0.1324,14.977,134.7926,14.977,1.1574,10.4165,2.3148,0.0279,0.2511,10.6232,62.9464,0.0151,120.9013
2013-05-25,0.0164,11.7835,0,318.482,0.3049,0.7454,0.1331,14.9756,134.7807,14.9756,1.1554,10.3987,2.3108,0.0285,0.2561,10.8169,62.9598,0.0158,120.9013
2013-05-26,0.0151,12.5138,0,313.2351,0.2956,0.7673,0.1339,14.9743,134.7688,14.9743,1.1534,10.381,2.3069,0.029,0.2611,11.0107,62.9732,0.0164,120.9013
2013-05-27,0.0142,12.8518,0,310.858,0.2864,0.7892,0.1346,14.973,134.757,14.973,1.1515,10.3633,2.3029,0.0296,0.2662,11.2044,62.9866,0.017,120.9013
2013-05-28,0.0141,14.5001,0,299.712,0.2772,0.8111,0.1354,14.9717,134.7451,14.9717,1.1495,10.3455,2.299,0.0301,0.2712,11.3981,63,0.0177,120.9013
2013-05-29,0.014,16.0369,0,289.9462,0.2679,0.8329,0.1361,14.9704,134.7332,14.9704,1.1475,10.3278,2.2951,0.0307,0.2762,11.5919,63.0134,0.0183,120.9013
2013-05-30,0.0132,16.7321,0,285.7133,0.2587,0.8548,0.1369,14.969,134.7213,14.969,1.1456,10.31,2.2911,0.0313,0.2813,11.7856,63.0268,0.0197,120.9013
2013-05-31,0.0142,17.0495,0,283.8173,0.2494,0.8767,0.1376,14.9677,134.7095,14.9677,1.1436,10.2923,2.2872,0.0311,0.2802,11.7533,63.0402,0.0211,120.9013
2013-06-01,0.0136,17.2396,0,282.6924,0.2402,0.8986,0.1384,14.9664,134.6976,14.9664,1.1416,10.2746,2.2832,0.031,0.2791,11.721,63.0536,0.0287,120.9013
2013-06-02,0.0169,17.1595,0,283.1654,0.231,0.9205,0.1391,14.9651,134.6857,14.9651,1.1396,10.2568,2.2793,0.0309,0.278,11.6887,63.067,0.0289,120.9013
2013-06-03,0.0159,16.7891,0,285.3712,0.2217,0.9424,0.1399,14.9638,134.6738,14.9638,1.1377,10.2391,2.2754,0.0308,0.277,11.6564,63.0804,0.0291,120.9013
2013-06-04,0.0136,16.4393,0,287.4826,0.2125,0.9643,0.1406,14.9624,134.6619,14.9624,1.1357,10.2213,2.2714,0.0307,0.2759,11.6242,63.0938,0.0293,120.9013
2013-06-05,0.0123,16.1639,0,289.1647,0.2033,0.9862,0.1414,14.9611,134.6501,14.9611,1.1337,10.2036,2.2675,0.0305,0.2748,11.5919,63.1072,0.0295,120.9013
2013-06-06,0.0486,15.4833,0,293.3975,0.194,1.0081,0.1421,14.9598,134.6382,14.9598,1.1318,10.1859,2.2635,0.0304,0.2737,11.5596,63.1206,0.0282,120.9013
2013-06-07,0.0498,14.903,0,297.0953,0.1848,1.03,0.1429,14.9585,134.6263,14.9585,1.1298,10.1681,2.2596,0.0303,0.2727,11.5273,63.134,0.0268,120.9013
2013-06-08,0.0358,15.2952,0,294.5872,0.1755,1.0518,0.1437,14.9572,134.6144,14.9572,1.1278,10.1504,2.2556,0.0302,0.2716,11.495,63.1474,0.0265,120.9013
2013-06-09,0.0251,16.1209,0,289.4284,0.1663,1.0737,0.1444,14.9558,134.6026,14.9558,1.1258,10.1326,2.2517,0.0301,0.2705,11.4627,63.1608,0.0261,120.9013
2013-06-10,0.0272,16.7489,0,285.6123,0.1571,1.0956,0.1452,14.9545,134.5907,14.9545,1.1239,10.1149,2.2478,0.0299,0.2694,11.4304,63.1742,0.0257,120.9013
2013-06-11,0.0292,16.3708,0,287.8989,0.1478,1.1175,0.1459,14.9532,134.5788,14.9532,1.1219,10.0972,2.2438,0.0298,0.2684,11.3981,63.1876,0.0259,120.9013
2013-06-12,0.0239,16.975,0,284.2602,0.1386,1.1394,0.1467,14.9519,134.5669,14.9519,1.1199,10.0794,2.2399,0.0297,0.2673,11.3658,63.201,0.024,120.9013
2013-06-13,0.0221,18.0383,0,278.0521,0.1293,1.1613,0.1474,14.9506,134.5551,14.9506,1.118,10.0617,2.2359,0.0296,0.2662,11.3335,63.2144,0.0228,120.9013
2013-06-14,0.0189,16.4772,0,287.2524,0.1201,1.1832,0.1482,14.9492,134.5432,14.9492,1.116,10.0439,2.232,0.03,0.2699,11.4789,63.2279,0.0216,120.9013
2013-06-15,0.0162,16.2758,0,288.4787,0.1109,1.2051,0.1489,14.9479,134.5313,14.9479,1.114,10.0262,2.228,0.0304,0.2736,11.6242,63.2413,0.021,120.9013
2013-06-16,0.015,16.7792,0,285.4306,0.1016,1.227,0.1497,14.9466,134.5194,14.9466,1.1121,10.0085,2.2241,0.0308,0.2774,11.7695,63.2547,0.0212,120.9013
2013-06-17,0.0152,17.4147,0,281.6634,0.0924,1.2488,0.1504,14.9453,134.5076,14.9453,1.1101,9.9907,2.2202,0.0312,0.2811,11.9148,63.2681,0.0213,120.9013
2013-06-18,0.0171,17.3644,0,281.9584,0.0831,1.2707,0.1512,14.944,134.4957,14.944,1.1081,9.973,2.2162,0.0316,0.2848,12.0601,63.2815,0.0205,120.9013
2013-06-19,0.0155,16.8402,0,285.0648,0.0739,1.2926,0.1519,14.9426,134.4838,14.9426,1.1061,9.9552,2.2123,0.0321,0.2885,12.2054,63.2949,0.0215,120.9013
