time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_ch4,SIL_rsi
2013-05-16,0.0152,15.2891,0,294.6262,0.388,0.7419,0.1264,14.9875,202.3314,21.7319,1.157,10.4132,2.3141,0.0182,0.1638,13.5599,62.8392,0.0108,120.9013
2013-05-17,0.0141,15.3267,0,294.3877,0.3788,0.7592,0.1271,14.9862,202.3136,21.73,1.1554,10.399,2.3109,0.0195,0.1755,14.3791,62.8526,0.0113,120.9013
2013-05-18,0.017,15.0142,0,296.3806,0.3695,0.7765,0.1279,14.9849,202.2958,21.7281,1.1539,10.3847,2.3077,0.0208,0.1873,15.1983,62.866,0.0118,120.9013
2013-05-19,0.0186,14.6304,0,298.8612,0.3603,0.7938,0.1286,14.9836,202.2779,21.7262,1.1523,10.3704,2.3045,0.0221,0.199,16.0176,62.8794,0.0124,120.9013
2013-05-20,0.0413,14.4457,0,300.0683,0.3511,0.8111,0.1294,14.9822,202.2601,21.7242,1.1507,10.3561,2.3014,0.0234,0.2108,16.8368,62.8928,0.013,120.9013
2013-05-21,0.0278,14.9861,0,296.5605,0.3418,0.8283,0.1301,14.9809,202.2423,21.7223,1.1491,10.3418,2.2982,0.0247,0.2226,17.656,62.9062,0.0135,120.9013
2013-05-22,0.0207,16.0322,0,289.9751,0.3326,0.8456,0.1309,14.9796,202.2245,21.7204,1.1475,10.3275,2.295,0.026,0.2343,18.4753,62.9196,0.0141,120.9013
2013-05-23,0.0195,15.7351,0,291.8187,0.3234,0.8629,0.1316,14.9783,202.2067,21.7185,1.1459,10.3133,2.2918,0.0273,0.2461,19.2945,62.933,0.0146,120.9013
2013-05-24,0.0194,14.3636,0,300.6075,0.3141,0.8802,0.1324,14.977,202.1889,21.7166,1.1443,10.299,2.2887,0.0279,0.2511,19.6529,62.9464,0.0151,120.9013
2013-05-25,0.0164,11.7835,0,318.482,0.3049,0.8975,0.1331,14.9756,202.1711,21.7147,1.1427,10.2847,2.2855,0.0285,0.2561,20.0113,62.9598,0.0158,120.9013
2013-05-26,0.0151,12.5138,0,313.2351,0.2956,0.9147,0.1339,14.9743,202.1533,21.7128,1.1412,10.2704,2.2823,0.029,0.2611,20.3697,62.9732,0.0164,120.9013
2013-05-27,0.0142,12.8518,0,310.858,0.2864,0.932,0.1346,14.973,202.1354,21.7108,1.1396,10.2561,2.2791,0.0296,0.2662,20.7281,62.9866,0.017,120.9013
2013-05-28,0.0141,14.5001,0,299.712,0.2772,0.9493,0.1354,14.9717,202.1176,21.7089,1.138,10.2418,2.276,0.0301,0.2712,21.0865,63,0.0177,120.9013
2013-05-29,0.014,16.0369,0,289.9462,0.2679,0.9666,0.1361,14.9704,202.0998,21.707,1.1364,10.2276,2.2728,0.0307,0.2762,21.4449,63.0134,0.0183,120.9013
2013-05-30,0.0132,16.7321,0,285.7133,0.2587,0.9839,0.1369,14.969,202.082,21.7051,1.1348,10.2133,2.2696,0.0313,0.2813,21.8034,63.0268,0.0197,120.9013
2013-05-31,0.0142,17.0495,0,283.8173,0.2494,1.0012,0.1376,14.9677,202.0642,21.7032,1.1332,10.199,2.2664,0.0311,0.2802,21.7436,63.0402,0.0211,120.9013
2013-06-01,0.0136,17.2396,0,282.6924,0.2402,1.0184,0.1384,14.9664,202.0464,21.7013,1.1316,10.1847,2.2633,0.031,0.2791,21.6839,63.0536,0.0287,120.9013
2013-06-02,0.0169,17.1595,0,283.1654,0.231,1.0357,0.1391,14.9651,202.0286,21.6994,1.13,10.1704,2.2601,0.0309,0.278,21.6242,63.067,0.0289,120.9013
2013-06-03,0.0159,16.7891,0,285.3712,0.2217,1.053,0.1399,14.9638,202.0107,21.6974,1.1285,10.1561,2.2569,0.0308,0.277,21.5644,63.0804,0.0291,120.9013
2013-06-04,0.0136,16.4393,0,287.4826,0.2125,1.0703,0.1406,14.9624,201.9929,21.6955,1.1269,10.1418,2.2537,0.0307,0.2759,21.5047,63.0938,0.0293,120.9013
2013-06-05,0.0123,16.1639,0,289.1647,0.2033,1.0876,0.1414,14.9611,201.9751,21.6936,1.1253,10.1276,2.2506,0.0305,0.2748,21.4449,63.1072,0.0295,120.9013
2013-06-06,0.0486,15.4833,0,293.3975,0.194,1.1048,0.1421,14.9598,201.9573,21.6917,1.1237,10.1133,2.2474,0.0304,0.2737,21.3852,63.1206,0.0282,120.9013
2013-06-07,0.0498,14.903,0,297.0953,0.1848,1.1221,0.1429,14.9585,201.9395,21.6898,1.1221,10.099,2.2442,0.0303,0.2727,21.3255,63.134,0.0268,120.9013
