time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_ch4,SIL_rsi
2015-07-07,0.0449,22.4046,0,254.917,0.3659,0.83,0.1288,13.1557,177.602,19.0758,1.1227,10.1044,2.2454,0.0209,0.1879,8.1323,78.2114,0.0193,120.9013
2015-07-08,0.0409,23.0615,0,251.7304,0.3548,0.8433,0.1279,12.6561,170.8576,18.3514,1.1445,10.3004,2.289,0.0209,0.1882,8.16,78.2248,0.0188,120.9013
2015-07-09,0.04,23.2183,0,250.9797,0.3564,0.8567,0.127,12.2279,165.0767,17.7305,1.1663,10.4964,2.3325,0.021,0.1886,8.1876,78.2382,0.0183,120.9013
2015-07-10,0.0341,23.542,0,249.4433,0.3643,0.87,0.1261,12.2041,164.7556,17.696,1.188,10.6924,2.3761,0.021,0.1889,8.2153,78.2516,0.0178,120.9013
2015-07-11,0.0315,23.2144,0,250.9986,0.3722,0.8834,0.1252,12.1803,164.4344,17.6615,1.2098,10.8884,2.4196,0.021,0.1893,8.243,78.265,0.0173,120.9013
2015-07-12,0.0287,23.1182,0,251.4583,0.3801,0.8968,0.1248,12.1565,164.1132,17.627,1.2316,11.0844,2.4632,0.0211,0.1896,8.2707,78.2784,0.0168,120.9013
2015-07-13,0.0647,22.7506,0,253.2295,0.388,0.9101,0.1264,12.1327,163.7921,17.5925,1.2534,11.2804,2.5068,0.0211,0.1899,8.2984,78.2918,0.0163,120.9013
2015-07-14,0.0727,23.6211,0,249.07,0.3722,0.9235,0.1224,12.1327,163.7921,17.5925,1.2777,11.4997,2.5555,0.0204,0.1833,7.9939,78.3052,0.0169,120.9013
2015-07-15,0.0597,23.5171,0,249.5609,0.3722,0.9369,0.1215,12.2517,165.3979,17.765,1.2635,11.3713,2.527,0.0196,0.1767,7.6895,78.3186,0.0175,120.9013
2015-07-16,0.049,23.35,0,250.3527,0.3801,0.9502,0.1206,12.3706,167.0037,17.9374,1.2492,11.2429,2.4984,0.0189,0.1702,7.385,78.332,0.0181,120.9013
2015-07-17,0.0431,23.2582,0,250.7894,0.388,0.9636,0.1197,12.4896,168.6095,18.1099,1.2349,11.1145,2.4699,0.0184,0.1652,7.3158,78.3454,0.0186,120.9013
2015-07-18,0.0422,23.9791,0,247.3944,0.4039,0.977,0.1188,13.4412,181.4559,19.4897,1.2889,11.6003,2.5779,0.0195,0.1757,7.6941,78.3588,0.0192,120.9013
2015-07-19,0.042,24.7124,0,244.022,0.4197,1.0115,0.1179,14.3928,194.3024,20.8695,1.3429,12.0861,2.6858,0.0207,0.1861,8.0723,78.3722,0.0198,120.9013
2015-07-20,0.0391,25.0561,0,242.4685,0.4355,1.0968,0.117,14.1549,191.0908,20.5246,1.3969,12.572,2.7938,0.0211,0.1903,8.2199,78.3856,0.0204,120.9013
2015-07-21,0.0343,24.6969,0,244.0925,0.4514,1.182,0.1161,14.0359,189.485,20.3521,1.4509,13.0578,2.9017,0.0216,0.1946,8.3675,78.399,0.0201,120.9013
2015-07-22,0.0294,23.7322,0,248.5481,0.4672,1.2673,0.1152,13.917,187.8791,20.1796,1.5048,13.5436,3.0097,0.0221,0.1988,8.5152,78.4125,0.0198,120.9013
2015-07-23,0.026,22.9261,0,252.3811,0.4831,1.3525,0.1143,13.798,186.2733,20.0071,1.5588,14.0294,3.1176,0.0226,0.203,8.6628,78.4259,0.0196,120.9013
2015-07-24,0.0245,23.1127,0,251.4847,0.4989,1.4378,0.1134,13.6791,184.6675,19.8347,1.6128,14.5152,3.2256,0.023,0.2073,8.8104,78.4393,0.0193,120.9013
2015-07-25,0.0232,23.25,0,250.8287,0.491,1.523,0.1125,13.5601,183.0617,19.6622,1.4953,13.4575,2.9906,0.0235,0.2115,8.958,78.4527,0.019,120.9013
